"%1 Comment(s)","%1 Comment(s)"
"Read More","Read More"
"Share This: ","Share This: "
Facebook,Facebook
"Google +","Google +"
Tweet,Tweet
LinkedIn,LinkedIn
Pinterest,Pinterest
Email,Email
"Tags: ","Tags: "
"Post Comments","Post Comments"
"* Required Fields","* Required Fields"
"Submit Comment","Submit Comment"
Submit,Submit
"You must be logged in to post a comment.","You must be logged in to post a comment."
"Click here","Click here"
"to log in","to log in"
"Posted On: %1","Posted On: %1"
"Recent Posts","Recent Posts"
"Manage Brands","Manage Brands"
"Add New Brand","Add New Brand"
"Edit Brand '%1'","Edit Brand '%1'"
"New New Brand","New New Brand"
"Brand Information","Brand Information"
"Small Image","Small Image"
Description,Description
"Featured Brand","Featured Brand"
"Product ID","Product ID"
Type,Type
"Attribute Set","Attribute Set"
Visibility,Visibility
SKU,SKU
Price,Price
Position,Position
Brand,Brand
Products,Products
"Brand ID","Brand ID"
"Shop By Brand","Shop By Brand"
"The brand has been deleted.","The brand has been deleted."
"We can't find a brand to delete.","We can't find a brand to delete."
"This brand no longer exists.","This brand no longer exists."
"Edit Brand","Edit Brand"
"Please select brand(s).","Please select brand(s)."
"Total of %1 brand(s) were changed status.","Total of %1 brand(s) were changed status."
"The wrong brand is specified.","The wrong brand is specified."
"You saved the brand.","You saved the brand."
"Something went wrong while saving the brand data. Please review the error log.","Something went wrong while saving the brand data. Please review the error log."
"Featured Brands","Featured Brands"
(%1),(%1)
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
Brands,Brands
"View All","View All"
"Have no brands.","Have no brands."
0-9,0-9
"Search brand here...","Search brand here..."
Search,Search
"Reset Filter","Reset Filter"
"Edit %1","Edit %1"
"New Item","New Item"
"Mpanel Information","Mpanel Information"
Mpanel,Mpanel
Filename,Filename
"Add Item","Add Item"
"Import %1","Import %1"
"Install %1 theme","Install %1 theme"
"On Sale","On Sale"
"Top Rated","Top Rated"
"New Arrivals","New Arrivals"
"You deleted the item ""%1"".","You deleted the item ""%1""."
"This item no longer exists.","This item no longer exists."
"%1 was successfully imported.","%1 was successfully imported."
"Cannot set homepage default.","Cannot set homepage default."
"Cannot import this homepage.","Cannot import this homepage."
"This homepage no longer exists.","This homepage no longer exists."
"%1 theme was successfully installed.","%1 theme was successfully installed."
"Cannot import static blocks and cms pages.","Cannot import static blocks and cms pages."
"This theme no longer exists.","This theme no longer exists."
"You saved the item.","You saved the item."
"Please select item(s).","Please select item(s)."
"Total of %1 record(s) were successfully deleted.","Total of %1 record(s) were successfully deleted."
"Total of %1 record(s) were successfully updated.","Total of %1 record(s) were successfully updated."
Lato,Lato
"Open Sans","Open Sans"
Roboto,Roboto
"Roboto Slab","Roboto Slab"
Oswald,Oswald
"Source Sans Pro","Source Sans Pro"
"PT Sans","PT Sans"
"PT Serif","PT Serif"
"Droid Serif","Droid Serif"
"Josefin Slab","Josefin Slab"
Montserrat,Montserrat
Ubuntu,Ubuntu
"Titillium Web","Titillium Web"
"Noto Sans","Noto Sans"
Lora,Lora
"Playfair Display","Playfair Display"
"Bree Serif","Bree Serif"
Vollkorn,Vollkorn
Alegreya,Alegreya
"Noto Serif","Noto Serif"
Fade,Fade
"Back Slide","Back Slide"
"Go Down","Go Down"
"Slide Vertical","Slide Vertical"
"New Product","New Product"
"Sale Price","Sale Price"
"Top Rate","Top Rate"
"1 Column","1 Column"
"2 Column","2 Column"
"3 Column","3 Column"
"Only Breadcumbs","Only Breadcumbs"
"Title left and Breadcumbs rights","Title left and Breadcumbs rights"
"Breadcumbs Center","Breadcumbs Center"
Color,Color
"No deals product, please config special price, special form date and special to date","No deals product, please config special price, special form date and special to date"
"Choose font family","Choose font family"
Wide,Wide
Boxed,Boxed
"No Layout Update","No Layout Update"
"2 columns with left bar","2 columns with left bar"
"2 columns with right bar","2 columns with right bar"
Empty,Empty
Sale,Sale
"Filter By Attribute","Filter By Attribute"
"All product","All product"
2,2
3,3
4,4
6,6
"4 Column","4 Column"
"5 Column","5 Column"
Grid,Grid
Left,Left
Right,Right
Center,Center
Top,Top
Bottom,Bottom
Middle,Middle
"1/1 Square","1/1 Square"
"1/2 Portrait","1/2 Portrait"
"2/3 Portrait","2/3 Portrait"
"3/4 Portrait","3/4 Portrait"
"2/1 Landscape","2/1 Landscape"
"3/2 Landscape","3/2 Landscape"
"4/3 Landscape","4/3 Landscape"
"No Repeat","No Repeat"
Repeat,Repeat
"Repeat X","Repeat X"
"Repeat Y","Repeat Y"
"OWL Carousel Slider","OWL Carousel Slider"
1024px,1024px
1200px,1200px
1366px,1366px
"Full width","Full width"
"The category ""%1"" haven't product.","The category ""%1"" haven't product."
"Categories with Id are %1 does not exist","Categories with Id are %1 does not exist"
"Load More","Load More"
"Learn More","Learn More"
Days,Days
Hours,Hours
Mins,Mins
Secs,Secs
"Shop now","Shop now"
"We can't find deals matching the selection.","We can't find deals matching the selection."
"We can't find products matching the selection.","We can't find products matching the selection."
"Categories Navigation","Categories Navigation"
"No deal product to show","No deal product to show"
"There are no products matching the selection. Attribute %1 is not exist.","There are no products matching the selection. Attribute %1 is not exist."
"No product to show","No product to show"
"There are no products matching the selection. One or more attributes is not exist (%1).","There are no products matching the selection. One or more attributes is not exist (%1)."
"You need to input id for your slider.","You need to input id for your slider."
"You need to input identifier for your slider.","You need to input identifier for your slider."
"Portfolio Categories","Portfolio Categories"
"Add Category","Add Category"
"Portfolio Information","Portfolio Information"
"Portfolio Category","Portfolio Category"
"Category Name","Category Name"
Identifier,Identifier
"Portfolio Item","Portfolio Item"
"Thumbnail Image","Thumbnail Image"
"Base Image","Base Image"
Client,Client
Project,Project
"Project Url","Project Url"
Date,Date
Skills,Skills
"New Category","New Category"
Portfolio,Portfolio
"Portfolio List","Portfolio List"
"Identifier name ""%1"" already exists.","Identifier name ""%1"" already exists."
"Please select categories.","Please select categories."
"Total of %1 categories were successfully deleted.","Total of %1 categories were successfully deleted."
"There are no portfolios matching the selection.","There are no portfolios matching the selection."
Date:,Date:
Project:,Project:
Client:,Client:
Skills:,Skills:
Categories:,Categories:
Projects,Projects
"New Banner","New Banner"
"Promobanners Information","Promobanners Information"
"Banner Information","Banner Information"
"Banner Title","Banner Title"
"Button Text","Button Text"
Url,Url
"Text Align","Text Align"
"Top Left","Top Left"
"Top Center","Top Center"
"Top Right","Top Right"
"Middle Left","Middle Left"
"Middle Center","Middle Center"
"Middle Right","Middle Right"
"Bottom Left","Bottom Left"
"Bottom Center","Bottom Center"
"Bottom Right","Bottom Right"
Effect,Effect
"Hover on preview image to see","Hover on preview image to see"
"No Effect","No Effect"
"Effect 1","Effect 1"
"Effect 2","Effect 2"
"Effect 3","Effect 3"
"Effect 4","Effect 4"
"Effect 5","Effect 5"
"Effect 6","Effect 6"
"Effect 7","Effect 7"
"Effect 8","Effect 8"
"Effect 9","Effect 9"
"Effect 10","Effect 10"
"Effect 11","Effect 11"
"Effect 12","Effect 12"
"Effect 13","Effect 13"
"Custom Class","Custom Class"
"Manage Banners","Manage Banners"
"Add Banner","Add Banner"
Preview,Preview
Promobanners,Promobanners
"Identifier already exist. Please use other identifier","Identifier already exist. Please use other identifier"
"We can't find banners matching the selection.","We can't find banners matching the selection."
"Quick View","Quick View"
"More Details","More Details"
"Just now","Just now"
"Seconds ago","Seconds ago"
"A minute ago","A minute ago"
" minutes ago"," minutes ago"
"One hour ago","One hour ago"
" hours ago"," hours ago"
"One day ago","One day ago"
" days ago"," days ago"
"Please update your twitter settings first.","Please update your twitter settings first."
"Add New Store","Add New Store"
"Save Store","Save Store"
"Edit Store '%1'","Edit Store '%1'"
"New Store","New Store"
"Store Address","Store Address"
"Street Address","Street Address"
Country,Country
State,State
City,City
Zipcode,Zipcode
"Get Map","Get Map"
"Store Location","Store Location"
Latitude,Latitude
Longitude,Longitude
"Store Information","Store Information"
"Store Name","Store Name"
"Store Logo","Store Logo"
"Allowed extensions are jpg, jpeg, gif, png","Allowed extensions are jpg, jpeg, gif, png"
"Phone Number","Phone Number"
Fax,Fax
"Website Url","Website Url"
"Store Status","Store Status"
Enable,Enable
Disable,Disable
"Store Description","Store Description"
"Store Openning Hours","Store Openning Hours"
"A Store locator has been deleted.","A Store locator has been deleted."
"Store Locator","Store Locator"
"This Locator no longer exists.","This Locator no longer exists."
"Edit Store","Edit Store"
Stores,Stores
"Please select one or more locator.","Please select one or more locator."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"Please select one or more store locator.","Please select one or more store locator."
"Total of %1 record(s) were changed status.","Total of %1 record(s) were changed status."
"You saved the store locator.","You saved the store locator."
"Please enter Country or State or City","Please enter Country or State or City"
"Search by Area","Search by Area"
state,state
"Search by Distance","Search by Distance"
Location,Location
"Street, City, State, Zipcode, Country","Street, City, State, Zipcode, Country"
Radius,Radius
Kilomet,Kilomet
"Store List","Store List"
"There are no stores.","There are no stores."
"Zip Code: %1","Zip Code: %1"
"Phone: %1","Phone: %1"
"Phone: ","Phone: "
Details,Details
"View Map","View Map"
"Your Location","Your Location"
"Show All Stores","Show All Stores"
Address:,Address:
Phone:,Phone:
Email:,Email:
Fax:,Fax:
"Opening Hours","Opening Hours"
Back,Back
"Testimonial Information","Testimonial Information"
Testimonial,Testimonial
Information,Information
Avatar,Avatar
"We can't find testimonials matching the selection.","We can't find testimonials matching the selection."
from,from
"Apply Discount Code","Apply Discount Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel Coupon","Cancel Coupon"
"Shopping Cart Items","Shopping Cart Items"
Item,Item
Qty,Qty
Subtotal,Subtotal
Actions,Actions
"Continue Shopping","Continue Shopping"
"Clear Shopping Cart","Clear Shopping Cart"
"Update Shopping Cart","Update Shopping Cart"
"Update Cart","Update Cart"
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
"Edit item parameters","Edit item parameters"
"Remove item","Remove item"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"Estimate Tax","Estimate Tax"
"Estimate Shipping and Tax","Estimate Shipping and Tax"
"Write Us","Write Us"
"Jot us a note and we’ll get back to you as quickly as possible.","Jot us a note and we’ll get back to you as quickly as possible."
"What’s on your mind?","What’s on your mind?"
"Address Book","Address Book"
"Manage Addresses","Manage Addresses"
"Default Billing Address","Default Billing Address"
"Edit Address","Edit Address"
"Default Shipping Address","Default Shipping Address"
"Account Information","Account Information"
"Contact Information","Contact Information"
"Change Password","Change Password"
Newsletters,Newsletters
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
"My Account","My Account"
"Default Addresses","Default Addresses"
"Change Billing Address","Change Billing Address"
"You have no default billing address in your address book.","You have no default billing address in your address book."
"Change Shipping Address","Change Shipping Address"
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"Additional Address Entries","Additional Address Entries"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","You have no other address entries in your address book."
"Add New Address","Add New Address"
Company,Company
Address,Address
"Street Address %1","Street Address %1"
"VAT Number","VAT Number"
State/Province,State/Province
"Please select a region, state or province.","Please select a region, state or province."
"Zip/Postal Code","Zip/Postal Code"
"Use as my default billing address","Use as my default billing address"
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Save Address"
"Go back","Go back"
"Current Password","Current Password"
"New Password","New Password"
"Confirm New Password","Confirm New Password"
Save,Save
"Registered Customers","Registered Customers"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
Password,Password
Login,Login
"Forgot Your Password?","Forgot Your Password?"
"Subscription option","Subscription option"
"General Subscription","General Subscription"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Address Information","Address Information"
"Sign-in Information","Sign-in Information"
"Confirm Password","Confirm Password"
"Create an Account","Create an Account"
"New Customers","New Customers"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Creating an account has many benefits: check out faster, keep more than one address, track orders and more."
Gender,Gender
"Tax/VAT number","Tax/VAT number"
Currency,Currency
item,item
items,items
"Now Shopping by","Now Shopping by"
Previous,Previous
Remove,Remove
"Remove This Item","Remove This Item"
"Shop By","Shop By"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","Enter your email address"
Subscribe,Subscribe
"Recently Viewed","Recently Viewed"
"Recently Compared","Recently Compared"
"Product Reviews","Product Reviews"
Created,Created
"Product Name","Product Name"
Rating,Rating
Review,Review
"See Details","See Details"
"You have submitted no reviews.","You have submitted no reviews."
"My Recent Reviews","My Recent Reviews"
"Average Customer Rating:","Average Customer Rating:"
"Your Review","Your Review"
"Submitted on %1","Submitted on %1"
"Back to My Reviews","Back to My Reviews"
"My Orders","My Orders"
"Last Ordered Items","Last Ordered Items"
"All Categories","All Categories"
"Search entire store here...","Search entire store here..."
"There are no search terms available.","There are no search terms available."
Language,Language
"Toggle Nav","Toggle Nav"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","For the best experience on our site, be sure to turn on Javascript in your browser."
"Local Storage seems to be disabled in your browser.","Local Storage seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","For the best experience on our site, be sure to turn on Local Storage in your browser."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
&laquo;,&laquo;
Next,Next
&raquo;,&raquo;
Show,Show
"per page","per page"
"Share Wish List","Share Wish List"
"Add All to Cart","Add All to Cart"
"Update Wish List","Update Wish List"
"Move to Wishlist","Move to Wishlist"
Comment,Comment
"View Product","View Product"
Availability,Availability
"Remove Item","Remove Item"
"This Wish List has no Items","This Wish List has no Items"
"Options Details","Options Details"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"RSS Feed","RSS Feed"
"Wish List","Wish List"
Product,Product
"Wish List is empty now.","Wish List is empty now."
"Sharing Information","Sharing Information"
"Email addresses, separated by commas","Email addresses, separated by commas"
Message,Message
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Wish List."
"Last Added Items","Last Added Items"
"Go to Wish List","Go to Wish List"
"You have no items in your wish list.","You have no items in your wish list."
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"Post By: %1","Post By: %1"
"Read more","Read more"
"Share This Post: ","Share This Post: "
Comments,Comments
"Leave a Comment","Leave a Comment"
"Name* ","Name* "
"Email* ","Email* "
"Post Comment","Post Comment"
" - %1"," - %1"
"in ","in "
"(%1 %2)","(%1 %2)"
"All brands","All brands"
"Brands Search","Brands Search"
"All Project","All Project"
"Project Description","Project Description"
"Live Preview","Live Preview"
Share,Share
"Related Works","Related Works"
"View on Map","View on Map"
Website:,Website:
"Store Overview","Store Overview"
"Go back to product details","Go back to product details"
"Customize and Add to Cart","Customize and Add to Cart"
"Your Customization","Your Customization"
Summary,Summary
"%1 x %2","%1 x %2"
Availability:,Availability:
None,None
Quantity,Quantity
"Choose a selection...","Choose a selection..."
"Customize %1","Customize %1"
"No options of this product are available.","No options of this product are available."
"Compare Products","Compare Products"
"Print This Page","Print This Page"
" "," "
"Remove Product","Remove Product"
"You have no items to compare.","You have no items to compare."
Compare,Compare
"Clear All","Clear All"
"You have no products to compare.","You have no products to compare."
"Close Window","Close Window"
Prev,Prev
"Related Products","Related Products"
"We found other products you might like!","We found other products you might like!"
"More Choices:","More Choices:"
"New Products","New Products"
"Check items to add to the cart <br /> or","Check items to add to the cart <br /> or"
"select all","select all"
"Items %1-%2 of %3","Items %1-%2 of %3"
"%1 Items","%1 Items"
"Sort By","Sort By"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"Add to wishlist","Add to wishlist"
"Add to compare","Add to compare"
"are being added to cart ...","are being added to cart ..."
x,x
"was added to cart.","was added to cart."
"You also may like","You also may like"
"Email to a Friend","Email to a Friend"
"My Cart","My Cart"
Totals,Totals
Loading...,Loading...
"Order #","Order #"
"Proceed to Checkout","Proceed to Checkout"
"Incl. Tax","Incl. Tax"
"Excl. Tax","Excl. Tax"
"Your order number is: %1.","Your order number is: %1."
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","We'll email you an order confirmation with details and tracking info."
"Send Message","Send Message"
Change,Change
"Additional Addresses Entries","Additional Addresses Entries"
"Please enter your email below and we will send you the confirmation link.","Please enter your email below and we will send you the confirmation link."
"Send confirmation link","Send confirmation link"
"Back to Sign In","Back to Sign In"
"Change Email","Change Email"
"Change Email and Password","Change Email and Password"
"Please enter your email address below to receive a password reset link.","Please enter your email address below to receive a password reset link."
"Reset My Password","Reset My Password"
"Sign In","Sign In"
"Street Address 1","Street Address 1"
"Password Strength","Password Strength"
"No Password","No Password"
"Set a New Password","Set a New Password"
"Please choose","Please choose"
"Sign Up for Our Newsletter...","Sign Up for Our Newsletter..."
Subscribe!,Subscribe!
"Write Your Own Review","Write Your Own Review"
"You're reviewing:","You're reviewing:"
"How do you rate this product?","How do you rate this product?"
"1 star","1 star"
"2 star","2 star"
"3 star","3 star"
"4 star","4 star"
"5 star","5 star"
Nickname,Nickname
"Submit Review","Submit Review"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
Reviews,Reviews
"Add Your Review","Add Your Review"
"Be the first to review this product","Be the first to review this product"
"%1 Review(s)","%1 Review(s)"
"Customer Reviews","Customer Reviews"
"Review by","Review by"
"Posted on","Posted on"
"Back to Main Product Info","Back to Main Product Info"
"Recent Orders","Recent Orders"
"Ship To","Ship To"
"Order Total","Order Total"
"View Order","View Order"
Reorder,Reorder
"You have placed no orders.","You have placed no orders."
"<i class=""fa fa-chevron-left""></i>","<i class=""fa fa-chevron-left""></i>"
"<i class=""fa fa-chevron-right""></i>","<i class=""fa fa-chevron-right""></i>"
"Product Details","Product Details"
"Add to cart and Comment","Add to cart and Comment"
"Resource with ID ""%1"" not found.","Resource with ID ""%1"" not found."
"Generic service exception %1","Generic service exception %1"
"The consumer isn't authorized to access %1.","The consumer isn't authorized to access %1."
"Service not found","Service not found"
"Invalid value of ""%value"" provided for the %fieldName field.","Invalid value of ""%value"" provided for the %fieldName field."
"""%1"" is not a valid mock response type for country ""%2"".","""%1"" is not a valid mock response type for country ""%2""."
"%1 is not a valid destination country.","%1 is not a valid destination country."
"Fixture base directory '%1' does not exist.","Fixture base directory '%1' does not exist."
"Directory separator ""\" is prohibited in fixture declaration.","Directory separator ""\" is prohibited in fixture declaration."
Drop-down,Drop-down
Select,Select
"""Email"" is not a valid email address.","""Email"" is not a valid email address."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"Collection size after clearing the products: %size","Collection size after clearing the products: %size"
"Invalid ""@magentoAppArea"" annotation, can be ""%1"" only.","Invalid ""@magentoAppArea"" annotation, can be ""%1"" only."
"Invalid ""@magentoAppIsolation"" annotation, can be ""enabled"" or ""disabled"" only.","Invalid ""@magentoAppIsolation"" annotation, can be ""enabled"" or ""disabled"" only."
"Can't find registered Module with name %1 .","Can't find registered Module with name %1 ."
"Invalid ""@magentoDbIsolation"" annotation, can be ""enabled"" or ""disabled"" only.","Invalid ""@magentoDbIsolation"" annotation, can be ""enabled"" or ""disabled"" only."
"'%1' is not a directory.","'%1' is not a directory."
"Setting '%1' specifies the non-existing file '%2'.","Setting '%1' specifies the non-existing file '%2'."
"Sequence with this metadata already exists","Sequence with this metadata already exists"
"Input type ""wrong_input_type"" not found in the input types list.","Input type ""wrong_input_type"" not found in the input types list."
"Instance of the ""Magento\TestFramework\EventManager"" is expected.","Instance of the ""Magento\TestFramework\EventManager"" is expected."
"Instance of the event manager is required.","Instance of the event manager is required."
"Helper instance cannot be redefined.","Helper instance cannot be redefined."
"Helper instance is not defined yet.","Helper instance is not defined yet."
"'%1' is not readable file.","'%1' is not readable file."
"Setting 'non_existing' specifies the non-existing file ''.","Setting 'non_existing' specifies the non-existing file ''."
"Setting 'item_label' specifies the non-existing file '%1Item Label.dist'.","Setting 'item_label' specifies the non-existing file '%1Item Label.dist'."
"Synthetic model update failure.","Synthetic model update failure."
"command not found","command not found"
"Not implemented","Not implemented"
"Modifier %s does not exists","Modifier %s does not exists"
"Incorrect CAPTCHA.","Incorrect CAPTCHA."
"You deleted the category.","You deleted the category."
"Make sure the To Date is later than or the same as the From Date.","Make sure the To Date is later than or the same as the From Date."
"You saved the product attribute.","You saved the product attribute."
"We can't delete this set right now.","We can't delete this set right now."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The attribute set has been removed.","The attribute set has been removed."
"The attribute set name is empty. Enter the name and try again.","The attribute set name is empty. Enter the name and try again."
"Attribute group with same code already exist. Please rename &quot;attribute-group-name&quot; group","Attribute group with same code already exist. Please rename &quot;attribute-group-name&quot; group"
"You saved the attribute set.","You saved the attribute set."
"The ""Name"" attribute value is empty. Set the attribute and try again.","The ""Name"" attribute value is empty. Set the attribute and try again."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"Missed values for option required fields\nInvalid option type","Missed values for option required fields\nInvalid option type"
"Invalid option value","Invalid option value"
"Missed values for option required fields","Missed values for option required fields"
"URL key for specified store already exists.","URL key for specified store already exists."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"All valid rates have been saved.","All valid rates have been saved."
"Please correct the input data for ""%1 => %2"" rate.","Please correct the input data for ""%1 => %2"" rate."
"Confirmation Not Required","Confirmation Not Required"
"The customer does not have default billing address.","The customer does not have default billing address."
"Customer View","Customer View"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"Unable to retrieve tracking","Unable to retrieve tracking"
"Error #%1 : %2","Error #%1 : %2"
"Not found","Not found"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","No such entity with %fieldName = %fieldValue, %field2Name = %field2Value"
"Session Exception","Session Exception"
"Fixture String","Fixture String"
"Message with ""%1"" and ""%2""","Message with ""%1"" and ""%2"""
"Init action problem.","Init action problem."
"Construction problem.","Construction problem."
"Prepare layout problem.","Prepare layout problem."
"Customer My Account (All Pages)","Customer My Account (All Pages)"
"All Empty Layout Pages","All Empty Layout Pages"
"New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated.","New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated."
"The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>","The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>"
"Any entities in the import data that already exist in the database are deleted from the database.","Any entities in the import data that already exist in the database are deleted from the database."
entity_label_1,entity_label_1
entity_label_2,entity_label_2
"Catalog Search","Catalog Search"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"Access Token","Access Token"
"Access Token Secret","Access Token Secret"
"You saved the configuration.","You saved the configuration."
"Response message from PayPal gateway","Response message from PayPal gateway"
"Declined response message from PayPal gateway","Declined response message from PayPal gateway"
"Not you?","Not you?"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"All Reviews of Customer `%1`","All Reviews of Customer `%1`"
"Transaction has been declined.","Transaction has been declined."
"You created the order.","You created the order."
"Your %1 order confirmation","Your %1 order confirmation"
"Update to your %1 credit memo","Update to your %1 credit memo"
"You created the credit memo.","You created the credit memo."
"Credit memo for your %1 order","Credit memo for your %1 order"
"You sent the order email.","You sent the order email."
"Update to your %1 invoice","Update to your %1 invoice"
"You sent the message.","You sent the message."
"Invoice for your %1 order","Invoice for your %1 order"
"The invoice has been created.","The invoice has been created."
"Transaction declined.","Transaction declined."
"simple text","simple text"
